question,golden_answer,url
"where does the phrase the sky is falling come from","Henny Penny, more commonly known in the United States as Chicken Little and sometimes as Chicken Licken","https://en.wikipedia.org//w/index.php?title=Henny_Penny&oldid=830969213"
"who made it to stage 3 in american ninja warrior season 9","Joe Moravsky, Najee Richardson, Sean Bryan","https://en.wikipedia.org//w/index.php?title=American_Ninja_Warrior_(season_9)&oldid=814776621"
"what is the average wealth in the uk","average household net financial wealth per capita is estimated at $60,778 (in USD, ranked 8/36)","https://en.wikipedia.org//w/index.php?title=Income_in_the_United_Kingdom&oldid=825286575"
"who determined the mass to charge ratio of an electron","J. J. Thomson","https://en.wikipedia.org//w/index.php?title=Mass-to-charge_ratio&oldid=811437468"
"what technology did the romans bring to britain","The preservation of skins with vegetable tannins","https://en.wikipedia.org//w/index.php?title=Roman_technology&oldid=842218972"
"who sang without love where would we be now","The Doobie Brothers","https://en.wikipedia.org//w/index.php?title=Long_Train_Runnin%27&oldid=804700605"
"who is the girl on the autonation commercial","Lacy","https://en.wikipedia.org//w/index.php?title=Monica_Lacy&oldid=818977867"
"who won the last 20 over world cup","West Indies","https://en.wikipedia.org//w/index.php?title=History_of_the_ICC_World_Twenty20&oldid=826847945"
"when does the door in the wall take place","during the Middle Ages","https://en.wikipedia.org//w/index.php?title=The_Door_in_the_Wall_(novel)&oldid=787231634"
"where is the western and southern open played","Mason near Cincinnati, Ohio, USA","https://en.wikipedia.org//w/index.php?title=Cincinnati_Masters&oldid=836968705"
"when is america's got talent live 2017","August 15, 2017","https://en.wikipedia.org//w/index.php?title=America%27s_Got_Talent_(season_12)&oldid=802470260"
"what is the film and publication board role","state censorship","https://en.wikipedia.org//w/index.php?title=Film_and_Publication_Board&oldid=833037556"
"when did the olympics first allow professional athletes","1988","https://en.wikipedia.org//w/index.php?title=Amateur_sports&oldid=837286090"
"when did the war in north africa start","10 June 1940","https://en.wikipedia.org//w/index.php?title=North_African_Campaign&oldid=842801543"
"where is california state university east bay located","Hayward, California","https://en.wikipedia.org//w/index.php?title=California_State_University,_East_Bay&oldid=842658795"
"which is the highest peak of southern india","Anamudi","https://en.wikipedia.org//w/index.php?title=Anamudi&oldid=827062087"
"what game are they playing in casino royale","Baccarat","https://en.wikipedia.org//w/index.php?title=Baccarat_(card_game)&oldid=830509665"
"who has the power to convict the president upon impeachment","Congress","https://en.wikipedia.org//w/index.php?title=Impeachment_in_the_United_States&oldid=811012795"
"signs and symptoms of acute suppurative otitis media","Ear pain, fever, hearing loss","https://en.wikipedia.org//w/index.php?title=Otitis_media&oldid=803275786"
"who is presiding officer for impeachment trials against the president of the phil","Chief Justice of the Supreme Court of the Philippines","https://en.wikipedia.org//w/index.php?title=Impeachment_in_the_Philippines&oldid=841553221"
"what type of dog was in turner and hooch","Dogue de Bordeaux","https://en.wikipedia.org//w/index.php?title=Dogue_de_Bordeaux&oldid=812096010"
"are cranial nerves part of the cns or pns","PNS","https://en.wikipedia.org//w/index.php?title=Peripheral_nervous_system&oldid=843049343"
"when did the stockton to darlington railway open","1825","https://en.wikipedia.org//w/index.php?title=Stockton_and_Darlington_Railway&oldid=815810219"
"what movie is the song diary of jane in","Step Up 2: The Streets","https://en.wikipedia.org//w/index.php?title=The_Diary_of_Jane&oldid=832761355"
"who wrote the score for the force awakens","John Williams","https://en.wikipedia.org//w/index.php?title=Star_Wars:_The_Force_Awakens_(soundtrack)&oldid=824425456"
"the legislating affairs in the india constitution have been enlisted into","the parliament","https://en.wikipedia.org//w/index.php?title=Federalism_in_India&oldid=837050638"
"first african team to play at the world cup","Egypt","https://en.wikipedia.org//w/index.php?title=African_nations_at_the_FIFA_World_Cup&oldid=850511433"
"who sings take this job and shove it lyrics","Johnny Paycheck","https://en.wikipedia.org//w/index.php?title=Take_This_Job_and_Shove_It&oldid=807976309"
"when did the blu ray player come out","April 10, 2003","https://en.wikipedia.org//w/index.php?title=Blu-ray&oldid=828966579"
"who played the beast in the movie shot caller","Holt McCallany","https://en.wikipedia.org//w/index.php?title=Shot_Caller_(film)&oldid=812100612"
"which parts of the bible are in aramaic","Daniel, Ezra, Hebrew Bible","https://en.wikipedia.org//w/index.php?title=Biblical_Aramaic&oldid=790097245"
"who is the highest ranking officer in the us army","colonel","https://en.wikipedia.org//w/index.php?title=United_States_military_seniority&oldid=800437086"
"who wrote the children's book the snowman","English author Raymond Briggs","https://en.wikipedia.org//w/index.php?title=The_Snowman&oldid=826684656"
"where do the bellas go in pitch perfect 3","Spain","https://en.wikipedia.org//w/index.php?title=Pitch_Perfect_3&oldid=837158847"
"what is the first book in the bible","Book of Genesis","https://en.wikipedia.org//w/index.php?title=Book_of_Genesis&oldid=806500583"
"who pitched the last perfect game in baseball","Félix Hernández","https://en.wikipedia.org//w/index.php?title=List_of_Major_League_Baseball_perfect_games&oldid=843237111"
"who wins the men's royal rumble 2018","Shinsuke Nakamura","https://en.wikipedia.org//w/index.php?title=Royal_Rumble_(2018)&oldid=837185443"
"where did the movie mississippi burning take place","fictional Jessup County, Mississippi","https://en.wikipedia.org//w/index.php?title=Mississippi_Burning&oldid=845922465"
"when will there be another star wars movie","December 20, 2019","https://en.wikipedia.org//w/index.php?title=Star_Wars_sequel_trilogy&oldid=810299407"
